frame,time,direction,hex,raw_packet,packet,event_detail
14,2.882987,D->H,03020000,"Ctrl { header: CtrlHeader { packet_type: 3, flag: false, id: 2, attribute: 0 }, payload: b"""" }","Generic(Ctrl { header: CtrlHeader { packet_type: 3, flag: false, id: 2, attribute: 0 }, payload: b"""" })",
32,3.004819,H->D,02010000,"Ctrl { header: CtrlHeader { packet_type: 2, flag: false, id: 1, attribute: 0 }, payload: b"""" }","Generic(Ctrl { header: CtrlHeader { packet_type: 2, flag: false, id: 1, attribute: 0 }, payload: b"""" })",
34,3.004894,D->H,05010000,"Ctrl { header: CtrlHeader { packet_type: 5, flag: false, id: 1, attribute: 0 }, payload: b"""" }","Generic(Ctrl { header: CtrlHeader { packet_type: 5, flag: false, id: 1, attribute: 0 }, payload: b"""" })",
36,3.006470,H->D,4402010133f8860c0054288cdc7e52729826872dd18b539a39c407d5c063d91102e36a9e,"Data { header: DataHeader { packet_type: 68, flag: false, id: 2, obj_count_words: 4 }, extended: ExtendedHeader { attribute: 30771, next: true, chunk: 6, size: 50 }, payload: b""\0T(\x8c\xdc~Rr\x98&\x87-\xd1\x8bS\x9a9\xc4\x07\xd5\xc0c\xd9\x11\x02\xe3j\x9e"" }","Generic(Data { header: DataHeader { packet_type: 68, flag: false, id: 2, obj_count_words: 4 }, extended: ExtendedHeader { attribute: 30771, next: true, chunk: 6, size: 50 }, payload: b""\0T(\x8c\xdc~Rr\x98&\x87-\xd1\x8bS\x9a9\xc4\x07\xd5\xc0c\xd9\x11\x02\xe3j\x9e"" })",
38,3.006650,D->H,c40201012004000040000000ffffffff1b8c1b24,"Data { header: DataHeader { packet_type: 68, flag: true, id: 2, obj_count_words: 4 }, extended: ExtendedHeader { attribute: 1056, next: false, chunk: 0, size: 0 }, payload: b""@\0\0\0\xff\xff\xff\xff\x1b\x8c\x1b$"" }","Generic(Data { header: DataHeader { packet_type: 68, flag: true, id: 2, obj_count_words: 4 }, extended: ExtendedHeader { attribute: 1056, next: false, chunk: 0, size: 0 }, payload: b""@\0\0\0\xff\xff\xff\xff\x1b\x8c\x1b$"" })","Status(
    StatusPacket {
        type_id: 64,
        timestamp_bytes: [
            0,
            0,
            0,
        ],
        vbus_raw: U16(
            65535,
        ),
        ibus_raw: U16(
            65535,
        ),
        cc1_raw: U16(
            35867,
        ),
        cc2_raw: U16(
            9243,
        ),
    },
)
"
40,3.020515,D->H,1a2b930cb87dec505e19aaf8e2bc7d8db71d119d2115b1c6124a3d31f8b849cd0e08467cb8716771ecc3fc3b4eda4ef79a5494e840135207f6c4859272ed9622,"Ctrl { header: CtrlHeader { packet_type: 26, flag: false, id: 43, attribute: 1609 }, payload: b""\xb8}\xecP^\x19\xaa\xf8\xe2\xbc}\x8d\xb7\x1d\x11\x9d!\x15\xb1\xc6\x12J=1\xf8\xb8I\xcd\x0e\x08F|\xb8qgq\xec\xc3\xfc;N\xdaN\xf7\x9aT\x94\xe8@\x13R\x07\xf6\xc4\x85\x92r\xed\x96\"""" }","Generic(Ctrl { header: CtrlHeader { packet_type: 26, flag: false, id: 43, attribute: 1609 }, payload: b""\xb8}\xecP^\x19\xaa\xf8\xe2\xbc}\x8d\xb7\x1d\x11\x9d!\x15\xb1\xc6\x12J=1\xf8\xb8I\xcd\x0e\x08F|\xb8qgq\xec\xc3\xfc;N\xdaN\xf7\x9aT\x94\xe8@\x13R\x07\xf6\xc4\x85\x92r\xed\x96\"""" })",
42,3.024011,H->D,44030101636beaf3f0856506eee9a27e89722dcfd18b539a39c407d5c063d91102e36a9e,"Data { header: DataHeader { packet_type: 68, flag: false, id: 3, obj_count_words: 4 }, extended: ExtendedHeader { attribute: 27491, next: false, chunk: 42, size: 975 }, payload: b""\xf0\x85e\x06\xee\xe9\xa2~\x89r-\xcf\xd1\x8bS\x9a9\xc4\x07\xd5\xc0c\xd9\x11\x02\xe3j\x9e"" }","Generic(Data { header: DataHeader { packet_type: 68, flag: false, id: 3, obj_count_words: 4 }, extended: ExtendedHeader { attribute: 27491, next: false, chunk: 42, size: 975 }, payload: b""\xf0\x85e\x06\xee\xe9\xa2~\x89r-\xcf\xd1\x8bS\x9a9\xc4\x07\xd5\xc0c\xd9\x11\x02\xe3j\x9e"" })",
44,3.024105,D->H,c40301012044000040000000fffffffff49553f2,"Data { header: DataHeader { packet_type: 68, flag: true, id: 3, obj_count_words: 4 }, extended: ExtendedHeader { attribute: 17440, next: false, chunk: 0, size: 0 }, payload: b""@\0\0\0\xff\xff\xff\xff\xf4\x95S\xf2"" }","Generic(Data { header: DataHeader { packet_type: 68, flag: true, id: 3, obj_count_words: 4 }, extended: ExtendedHeader { attribute: 17440, next: false, chunk: 0, size: 0 }, payload: b""@\0\0\0\xff\xff\xff\xff\xf4\x95S\xf2"" })","Status(
    StatusPacket {
        type_id: 64,
        timestamp_bytes: [
            0,
            0,
            0,
        ],
        vbus_raw: U16(
            65535,
        ),
        ibus_raw: U16(
            65535,
        ),
        cc1_raw: U16(
            38388,
        ),
        cc2_raw: U16(
            62035,
        ),
    },
)
"
46,3.052046,D->H,ba1d82d1e9945530d0ed71413266cd2edf339397b33ee7b2c9073fb21e92dcfa91f5f8b92a08f2b1d28f4de6ed7ef04bfe513f87cc11214c902e3fa51ffd338c,"Ctrl { header: CtrlHeader { packet_type: 58, flag: true, id: 29, attribute: 26817 }, payload: b""\xe9\x94U0\xd0\xedqA2f\xcd.\xdf3\x93\x97\xb3>\xe7\xb2\xc9\x07?\xb2\x1e\x92\xdc\xfa\x91\xf5\xf8\xb9*\x08\xf2\xb1\xd2\x8fM\xe6\xed~\xf0K\xfeQ?\x87\xcc\x11!L\x90.?\xa5\x1f\xfd3\x8c"" }","Generic(Ctrl { header: CtrlHeader { packet_type: 58, flag: true, id: 29, attribute: 26817 }, payload: b""\xe9\x94U0\xd0\xedqA2f\xcd.\xdf3\x93\x97\xb3>\xe7\xb2\xc9\x07?\xb2\x1e\x92\xdc\xfa\x91\xf5\xf8\xb9*\x08\xf2\xb1\xd2\x8fM\xe6\xed~\xf0K\xfeQ?\x87\xcc\x11!L\x90.?\xa5\x1f\xfd3\x8c"" })",
48,3.421577,H->D,44040101c51167ae613a6d46ec84a6bde8bd462ad18b539a39c407d5c063d91102e36a9e,"Data { header: DataHeader { packet_type: 68, flag: false, id: 4, obj_count_words: 4 }, extended: ExtendedHeader { attribute: 4549, next: false, chunk: 39, size: 697 }, payload: b""a:mF\xec\x84\xa6\xbd\xe8\xbdF*\xd1\x8bS\x9a9\xc4\x07\xd5\xc0c\xd9\x11\x02\xe3j\x9e"" }","Generic(Data { header: DataHeader { packet_type: 68, flag: false, id: 4, obj_count_words: 4 }, extended: ExtendedHeader { attribute: 4549, next: false, chunk: 39, size: 697 }, payload: b""a:mF\xec\x84\xa6\xbd\xe8\xbdF*\xd1\x8bS\x9a9\xc4\x07\xd5\xc0c\xd9\x11\x02\xe3j\x9e"" })",
